Mixture	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_(Tregs)	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Endothelial_cells	Fibroblasts	Neutrophils	P-value	Correlation	RMSE
ALCL_1	0.016793268776501	0.084926842724517	0.137219965062582	0.083564811318562	0.039773327179308	0.007604742700273	0.337173280880631	0.006274193576342	0.017662113921839	0.040311797396184	0.050076540913205	0	0.005783359880854	0	0.041670288974522	0.064072876598255	0	0.001875811251231	0.017362698780011	0	0	4.72165171269251	7.37705067121301	0.047854080065184	0	0.797534468978705	0.699342231753166
ALCL_10	0.002015508681593	0.017740217804743	0.022024941543931	0	0.031592976362212	0	0.294621264630184	0.023776294993246	0.043900638579757	0	0.107039037157283	0.064888491206626	0.050442985567191	0.00737056257416	0.108354027759345	0.17611509541888	0.000351591765293	0	0.036109752556196	0	0	4.92176325736532	8.84961938818214	0.01365661339936	0	0.688181896784966	0.765907792527815
ALCL_11	0	0.026630862019801	0.026110741599294	0	0	0.137577784651467	0.239320987636328	0	0	0.01566335906215	0.092726440786916	0.124490255762235	0.035445860083347	0.002360096081456	0.094002306140044	0.15545382645827	0	0	0.038536506760886	0	0	4.24475953402299	7.50235233771339	0.011680972957806	0	0.675876835439428	0.76293073983268
ALCL_12	0	0.030446330348195	0.151771549472558	0.112892246566572	0	0.001836337079544	0.220303443388888	0.017811493686232	0.010996083995244	0.004033426391011	0.00812165852394	0.041240155367712	0.002240788718707	0.052769095248906	0.114005765250371	0.147153466831187	0	0.004167610108508	0.0628112114658	0	0	4.9532650460101	8.51099956732893	0.017399337556626	0	0.712598148523094	0.758026900857405
ALCL_13_2	0	0.036489869778829	0.025111297134302	0.121513122634396	0.055083424382278	0	0.317432522283386	0.023360807816758	0	0	0.186246908238197	0	0	0.020979576512107	0.058285527604863	0.133994885971866	0	0	0.003003257553895	0.005073076343541	0	5.1995612574994	8.18175309742748	0.013425723745583	0	0.730772551753695	0.732484519829785
ALCL_14	0.098398193047278	0.221292125513151	0.011410794061622	0.145920378053895	0.059031807678109	0	0.035523229322567	0.102469956665562	0.049226861332123	0.047300897179279	0	0.006610647395482	0	0.049857562388375	0.09784720204233	0.037972190167605	0.037138155152622	0	0	0	0	4.30675083664058	5.56584933330828	0	0	0.873213256286682	0.616088305109303
ALCL_15	0.013122158768695	0.03853374837713	0.115170813129817	0.041323657853346	0	0.103793637944838	0.139683719801519	0.012384449067195	0.013637639249064	0	0.024352525737944	0.040026433551018	0.030995242972482	0	0.016803385258868	0.238552086260418	0	0.01285960042209	0.126139184295723	0.000991102926573	0	5.71236707068494	9.38967302709632	0.03163061438328	0	0.623915966225469	0.818944856157657
ALCL_16	0.007141572257228	0.066866588115055	0.038696472428543	0.120548878370061	0.059056424906592	0	0.138115796250511	0.062852306814436	0.075599743018787	0	0.080869705947987	0	0.017712637927729	0.067516515231285	0.171742621231351	0.078131701233766	0.006207038844224	0	0.005899284463923	0	0	4.4378601314112	5.99809308987934	0.003042712958525	0	0.799478715301797	0.687715481051985
ALCL_17	0	0.014199380634123	0.016491782179908	0	0.138196910820892	0	0.394691690207949	0.015126647062899	0.013473703603055	0	0.166802773412494	0.06163483392229	0	0.016432431004551	0	0.103764892855354	0	0.020963715398775	0.005583220042409	0.001063713969691	0	4.51523162824987	7.88337816762321	0.031574304885611	0	0.660485494349024	0.76841088976027
ALCL_18	0.00392941375458	0.022054320331515	0.028936766455825	0.076309491505029	0	0.023409846494055	0.13238867926459	0.093080763898415	0.01707755516967	0.061995277971325	0.168458857155819	0.092029653880435	0.028615892261702	0	0.091848864016365	0.09769679444507	0.008028171780574	0	0.054076162222993	0	6.34893920379774E-05	4.46424110663322	9.07485959112112	0	0	0.727845742425626	0.714717981802399
ALCL_19	0.062304160867368	0.064754446284157	0.023872297555128	0.008289926318388	0.105360621017165	0	0.341446237343865	0.110478760174134	0.061110959176145	0	0.05419335220064	0.070986158213578	0.002086279405733	0.029476235402945	0.015640475776164	0.045617546233852	0	0	0.004382544030738	0	0	4.86105418705238	7.56726099462081	0	0	0.740861818371522	0.718463348801595
ALCL_2	0.017662317519649	0.04008178934965	0.106371619044126	0.085488725493578	0.014632843143646	0	0.347333830447607	0	0	0.008074938874984	0.065434995418571	0	0.0224190281464	0	0.043216837090369	0.163021941152757	0	0.004218835067509	0.048644714974912	0	0	5.78572908194273	9.29975464600962	0.033397584276242	0	0.7722430990006	0.739891024111196
